time_s,altitude_m,dynamic_pressure_Pa,heat_flux_W_m2,wall_temperature_K,recession_m,effective_radius_m
0.0,120000.0,19.13007141105571,12463.904628978547,300.0,0.0,0.3
1.0,119093.83577876538,21.290768298257543,13154.258777724808,316.07649958219366,1.0728380472427266e-06,0.3000010728380472
2.0,118184.59349650145,23.704121812590554,13885.388154557468,319.9014128209066,2.205322449733897e-06,0.3000022053224497
3.0,117272.27323179133,26.400623937184054,14659.833346954132,323.77879423770696,3.4011326807739246e-06,0.30000340113268076
4.0,116356.87506302353,29.414555138809956,15480.30069281966,327.7254022935703,4.664047224215144e-06,0.3000046640472242
5.0,115438.39908262156,32.784467877130325,16349.673521628112,331.7576368970221,5.9980559660668275e-06,0.30000599805596606
6.0,114516.84539098572,36.55373344751132,17271.024197380917,335.89165411018496,7.4073981982760515e-06,0.30000740739819826
7.0,113592.2140970733,40.77116057819349,18247.627009907046,340.1434686646322,8.896566607851711e-06,0.30000889656660784
8.0,112664.50532045867,45.49169541607963,19282.97196662546,344.5290328154305,1.0470333949645394e-05,0.3000104703339496
9.0,111733.71919247694,50.7772138843772,20380.779562865144,349.06432973030286,1.2133761360910668e-05,0.3000121337613609
10.0,110799.85585748777,56.69741887109657,21545.01659350189,353.76544523395984,1.3892215804356995e-05,0.3000138922158043
11.0,109862.9154745182,63.33085643495654,22779.913080821563,358.64863402735546,1.5751391324654574e-05,0.30001575139132464
12.0,108922.89821886364,70.76606718612072,24089.98040281674,363.73038313631093,1.771732819557971e-05,0.30001771732819554
13.0,107979.80428447202,79.10289121227039,25480.030701111646,369.027481034408,1.9796437295501864e-05,0.3000197964372955
14.0,107033.63388611376,88.45394750749303,26955.1976688716,374.55707046330946,2.1995520407371393e-05,0.30002199552040737
15.0,106084.38726202492,98.94631174334538,28520.958811447486,380.336703170729,2.4321793945240663e-05,0.3000243217939452
16.0,105132.06467684265,110.72341956361416,30183.15928684528,386.38439040336783,2.6782913659470267e-05,0.3000267829136595
17.0,104176.66642487515,123.94722637883547,31948.037438758205,392.7186496618234,2.938700044529816e-05,0.3000293870004453
18.0,103218.19283414725,138.80065895568063,33822.252137248324,399.35854664527767,3.2142668799275263e-05,0.30003214266879924
19.0,102256.64427051228,155.49039909350444,35812.91206387505,406.32373549957424,3.505905482540956e-05,0.3000350590548254
20.0,101292.02114280965,174.2500452731253,37927.607065906785,413.63448949568607,3.8145846329927514e-05,0.30003814584632993
21.0,100324.32390732411,195.34370476144713,40174.441748802834,421.31173740155396,4.141331222317535e-05,0.30004141331222317
22.0,99353.55307561345,219.07007573638015,42562.07140634732,429.37707717910644,4.487233708811446e-05,0.3000448723370881
23.0,98379.70922106504,245.76708788834196,45099.74051291709,437.8527993852968,4.853445302009898e-05,0.3000485344530201
24.0,97402.79298530333,275.817179390109,47797.32394414563,446.76190687636245,5.241187249237155e-05,0.3000524118724924
25.0,96422.80509018246,309.65329867813307,50665.37101271267,456.1281079682843,5.6517525857460686e-05,0.30005651752585744
26.0,95439.74634687696,347.7657331833206,53715.15264607882,465.9758300641182,6.086509518260352e-05,0.3000608650951826
27.0,94453.61766776443,390.7098805537007,56958.71181933638,476.3302194745737,6.546904980317965e-05,0.3000654690498032
28.0,93464.42007916886,439.1150949464566,60408.91748597333,487.2171363347386,7.034468155196907e-05,0.30007034468155197
29.0,92472.15473765042,493.69475929694306,64079.52216983812,498.6631515449741,7.550813979257369e-05,0.30007550813979256
30.0,91476.82294709701,555.2577566101625,67985.22349753826,510.69558010545717,8.097646537195002e-05,0.30008097646537196
31.0,90478.42617812846,624.721537453427,72141.72987466035,523.3425047995565,8.676762256296507e-05,0.300086767622563
32.0,89476.96609062701,703.1270088722314,76565.8305177629,536.6328236741972,9.290052816119835e-05,0.3000929005281612
33.0,88472.44455980975,791.6555019858071,81275.47006191012,550.5965226630525,9.93950763340278e-05,0.30009939507633404
34.0,87464.86370476335,891.6481124288789,86289.82800383426,565.264836689052,0.00010627215838070582,0.3001062721583807
35.0,86454.22592172492,1004.6277487353308,91629.40313926332,580.6708061812463,0.00011355367405751887,0.3001135536740575
36.0,85440.53392178006,1132.324271702765,97316.10320616151,596.850082122074,0.00012126253164008142,0.30012126253164007
37.0,84423.79077411443,1276.7031614182724,103373.33988094889,613.8422383996289,0.00012942263060247564,0.30012942263060244
38.0,83403.99995469302,1439.9982103845362,109826.12927875854,631.6927547388877,0.00013805882115147116,0.30013805882115147
39.0,82381.16540216282,1624.7488102267318,116701.19799863205,650.456078950663,0.000147196826881398,0.3001471968268814
40.0,81355.29158159997,1833.8424787440217,124027.09472845058,670.2001312717572,0.0001568631120552905,0.3001568631120553
41.0,80326.38355704956,2070.563363315027,131834.307331469,691.0127206319847,0.00016708466518470293,0.3001670846651847
42.0,79294.44707442448,2338.647557150311,140155.38520591657,713.0103432786457,0.00017788865297543684,0.3001778886529754
