N,profile,kappa_interior_raw,kappa_interior_precond,kappa_bordered
32,uniform,7.75,1.0,5.010104626048301
32,stepped,61.28558682145172,13.133797074024137,321072.4030582603
64,uniform,15.75,1.0000000000000002,5.922384632806564
64,stepped,123.58233316876614,12.485342642213796,308115.26057943574
128,uniform,31.75,1.0,10.635541001619242
128,stepped,253.1415412885227,12.485830332790115,308116.3213693577
256,uniform,63.75,1.0000000000000002,40.359233005709115
256,stepped,512.943166150365,12.486123364426504,308125.64178260654
512,uniform,127.75,1.0,211.39014269104993
512,stepped,1033.2404749367277,12.486199261219825,308200.5802196238
