tof_over_tmin,prograde,time_of_flight,iterations,rel_error
0.9,True,5574.956419839789,3,1.0183337702775555e-12
0.9,False,5574.956419839789,3,5.110832149857055e-12
1.0,True,6194.39602204421,1,1.6718247102797543e-12
1.0,False,6194.39602204421,2,1.889436505733596e-12
1.6,False,9911.033635270738,3,1.5319312778132672e-11
4.0,False,24777.58408817684,3,9.647127513728036e-12
0.15,True,3112.195979589226,3,8.721516016668298e-14
0.4,True,8299.189278904603,2,3.4851070724270463e-13
0.9,True,18673.17587753536,3,1.7531265445191438e-13
0.9,False,18673.17587753536,3,9.749183790159402e-13
1.0,True,20747.973197261508,1,2.2277170030560276e-13
1.0,False,20747.973197261508,3,3.1703505937842624e-12
1.6,True,33196.75711561841,3,1.0545129274116226e-12
1.6,False,33196.75711561841,3,2.297693648320198e-12
4.0,False,82991.89278904603,3,2.3260106972536284e-12
0.15,True,1962.5933283409452,3,5.407039440808513e-14
0.4,True,5233.582208909188,5,5.905109617284305e-14
4.0,False,52335.822089091875,3,1.2584505597086544e-11
0.15,True,3573.3300889479297,3,1.3388811810011947e-13
0.4,True,9528.88023719448,5,1.601624387243418e-13
0.9,True,21439.98053368758,3,4.902314655718466e-12
1.0,True,23822.2005929862,1,1.0178457918708292e-12
1.0,False,23822.2005929862,4,3.0738941102711537e-12
1.6,True,38115.52094877792,3,5.837227057738843e-13
1.6,False,38115.52094877792,3,1.1436099662332305e-11
4.0,False,95288.8023719448,3,5.354630682978199e-13
0.15,True,2557.486622777206,3,2.2353970484524293e-14
0.4,True,6819.964327405883,5,2.6268413350868828e-14
0.9,True,15344.919736663234,3,8.431543714451394e-14
1.6,False,27279.85730962353,3,1.6402265122754796e-12
4.0,False,68199.64327405882,3,1.3936823950441153e-11
0.15,False,5696.674261911207,3,8.556100784857683e-13
0.4,True,15191.131365096555,2,3.982060232493866e-13
0.4,False,15191.131365096555,2,2.5126855318835694e-13
0.9,True,34180.04557146725,3,7.144381048079164e-13
0.9,False,34180.04557146725,3,9.73798250763881e-14
1.0,True,37977.828412741386,3,3.804070166258441e-13
1.0,False,37977.828412741386,1,9.78337171471395e-14
1.6,True,60764.52546038622,3,4.415516035254615e-13
1.6,False,60764.52546038622,3,1.4192250305002152e-11
4.0,True,151911.31365096555,3,4.124661633027865e-11
4.0,False,151911.31365096555,3,2.746652955325834e-12
0.15,True,2919.738828220939,3,7.172652089072729e-14
0.4,True,7785.970208589171,2,9.481158061838993e-14
0.9,True,17518.432969325637,3,4.3462340288205373e-13
1.0,True,19464.925521472927,1,4.299113028957391e-13
1.6,False,31143.880834356685,3,3.91561692069217e-12
4.0,False,77859.70208589171,3,2.253028438346126e-11
0.15,True,3298.001965138491,3,1.8918237748236929e-13
0.4,True,8794.671907035976,2,7.977888092235036e-13
0.9,True,19788.011790830948,3,2.1129052780797397e-13
0.9,False,19788.011790830948,3,5.3902053360144875e-12
1.0,True,21986.67976758994,1,1.0685540281976876e-12
1.0,False,21986.67976758994,3,1.2590622742802232e-12
1.6,True,35178.6876281439,3,8.923861413670542e-12
1.6,False,35178.6876281439,3,3.130034810621633e-13
4.0,True,87946.71907035976,3,6.420538070516653e-13
4.0,False,87946.71907035976,3,1.7116956390436207e-10
0.15,True,2252.8689471226703,3,1.5508466710180464e-13
0.4,True,6007.650525660455,2,7.105615371913406e-13
0.9,True,13517.213682736025,3,5.6949359433123866e-11
0.9,False,13517.213682736025,3,1.2518669103143209e-11
1.0,True,15019.126314151137,1,2.8209710257170823e-11
1.0,False,15019.126314151137,3,3.906402159951734e-11
1.6,True,24030.60210264182,3,2.5214906026603356e-12
1.6,False,24030.60210264182,3,2.083143239546903e-10
4.0,False,60076.50525660455,3,3.543671366063674e-11
0.15,True,3937.297610218338,3,1.0404974331258395e-13
0.4,True,10499.460293915568,5,1.6767751458426207e-13
0.9,True,23623.78566131003,3,8.349189797000154e-13
0.9,False,23623.78566131003,4,3.1947571854389293e-12
1.0,True,26248.65073478892,1,2.9168713614120748e-12
1.0,False,26248.65073478892,3,3.4025743676390197e-12
1.6,True,41997.84117566227,3,4.0938762042830294e-13
1.6,False,41997.84117566227,3,1.2299573186248799e-12
4.0,False,104994.60293915568,3,1.828102939653104e-12
0.15,False,1205.0152983595383,3,2.745401061510249e-13
0.4,False,3213.374128958769,5,2.751135994387181e-13
0.9,False,7230.09179015723,3,4.8229628635658e-13
1.0,False,8033.435322396922,1,6.707970908917374e-12
1.6,True,12853.496515835075,3,1.7457874693149229e-12
4.0,True,32133.741289587688,3,2.0711432551445325e-12
0.4,True,6538.945819578362,2,2.260640396110255e-13
0.4,False,6538.945819578362,2,3.243653999594902e-13
0.9,True,14712.628094051313,3,4.512727970430195e-13
0.9,False,14712.628094051313,3,2.595427465282916e-13
1.0,True,16347.364548945903,2,4.0690580798898006e-13
1.0,False,16347.364548945903,1,1.6200063560290212e-13
1.6,True,26155.783278313447,3,1.9816774255881067e-12
1.6,False,26155.783278313447,3,2.4059013930575095e-11
4.0,True,65389.45819578361,3,1.1250337915985228e-11
4.0,False,65389.45819578361,3,2.7540141574552454e-12
0.15,False,4416.2162210643655,3,2.897769971561821e-13
0.4,True,11776.576589504977,2,2.288423254691338e-12
0.4,False,11776.576589504977,2,2.025394633461174e-13
0.9,True,26497.297326386197,3,8.011407631924767e-12
0.9,False,26497.297326386197,3,7.239484679822849e-13
1.0,True,29441.44147376244,3,1.6561791296207279e-12
1.0,False,29441.44147376244,1,1.9820693225660456e-12
1.6,True,47106.30635801991,3,1.5424548223816475e-13
