N,profile,kappa_raw,kappa_elastic
8,uniform,5.107763001971997e+16,60.32029019524027
8,stepped,9832121690224018.0,166.38638540678394
12,uniform,7034467845778670.0,2250.3123353510005
12,stepped,6336058342427545.0,10540.150055771894
16,uniform,3265791887357756.0,22846.096635470956
16,stepped,6.1552771730875976e+16,75993.13916906549
20,uniform,4249886363442130.5,132345.0541089037
20,stepped,1.0030339244227358e+17,437148.88414908096
24,uniform,6051468398385275.0,550540.5984313164
24,stepped,3.5827137517016556e+16,1885777.549747132
28,uniform,8007816171468908.0,1834929.4026027552
28,stepped,1.025983136208643e+17,6162049.924988569
32,uniform,6.343130180891019e+16,5211986.6591761615
32,stepped,8.138858139607027e+16,17669973.1163803
40,uniform,1.960661221807277e+16,29977856.94701815
40,stepped,1.7364985996513923e+17,104209235.51013508
48,uniform,5.1652856771742824e+16,125899812.8447321
48,stepped,1.704762383545555e+17,444489481.73419094
64,uniform,3.3664533938962684e+16,1223664295.5448754
64,stepped,5.5119006753772026e+17,4396339004.224065
