N,worst_rel_err,rel_err_mode_1,rel_err_mode_2,rel_err_mode_3,rel_err_mode_4,rel_err_mode_5
8,0.11534995912847311,0.0012041683685302292,0.06914085306202299,0.11534995912847311,nan,nan
12,0.018179635292079593,2.696257464657523e-07,0.00016603293839047815,0.0007090082467213535,0.013609694043599775,0.018179635292079593
16,0.0004238350238319888,1.64961762714278e-11,1.1296808850649448e-07,1.467196514953516e-06,0.000147522933153081,0.0004238350238319888
20,2.165605164100572e-06,6.984654276122859e-11,2.8823879701215956e-11,1.049206514134571e-09,3.9502290532045237e-07,2.165605164100572e-06
24,4.451471919109122e-09,1.593041387611115e-10,1.6201752751449726e-11,1.9489129185438934e-12,4.2121655674465525e-10,4.451471919109122e-09
28,1.2583620217885728e-10,1.2583620217885728e-10,6.736056189953927e-11,5.9706247827799376e-12,2.021209204366623e-12,7.176550871785253e-12
32,1.2199318143444797e-09,1.2199318143444797e-09,2.3353400386264698e-12,1.1044545105299857e-11,3.1093885353884623e-12,2.9505480821387544e-12
40,2.484479604498586e-09,2.484479604498586e-09,3.993794382732155e-10,3.6587164015776335e-11,1.173945268624985e-11,8.142804438078998e-12
48,1.1240339053329342e-08,1.1240339053329342e-08,4.390450793782236e-10,2.0503842726587803e-10,1.7319087939809765e-10,2.912849913443944e-11
64,1.676251174066321e-09,1.574053119214705e-09,3.5429654563312024e-10,1.676251174066321e-09,1.0332956725461588e-09,4.4026320376170814e-10
