N,gamma,sigma_min,sigma_max,rel_force_err
16,1.0,0.2748893571891064,0.9817477042468103,7.925674339002692e-17
16,1.5,0.41233403578365957,1.4726215563702154,4.5650214835976045e-17
16,2.0,0.5497787143782128,1.9634954084936207,0.0
24,1.0,0.18325957145940427,0.6544984694978735,2.6533581972973725e-17
24,1.5,0.2748893571891064,0.9817477042468102,0.0
24,2.0,0.36651914291880855,1.308996938995747,1.0318124733684329e-16
32,1.0,0.1374446785945532,0.4908738521234052,1.534267720802334e-16
32,1.5,0.20616701789182978,0.7363107781851077,0.0
32,2.0,0.2748893571891064,0.9817477042468103,7.826848407254107e-17
48,1.0,0.09162978572970214,0.32724923474893675,0.0
48,1.5,0.1374446785945532,0.4908738521234051,0.0
48,2.0,0.18325957145940427,0.6544984694978735,0.0
64,1.0,0.0687223392972766,0.2454369260617026,5.960093953814116e-17
64,1.5,0.10308350894591489,0.36815538909255385,4.126775683263299e-17
64,2.0,0.1374446785945532,0.4908738521234052,0.0
