table,case,heat_flux,pressure,measured,predicted,error,scatter
"TACOT, Mutation++, pressure-dependent",1,1070000.0,2300.0,0.0023,0.002527124812268306,0.09874991837752445,0.0260869565217392
"TACOT, Mutation++, pressure-dependent",2,1690000.0,5000.0,0.00454,0.004169062684090783,-0.08170425460555442,0.10572687224669594
"TACOT, Mutation++, pressure-dependent",3,2460000.0,8500.0,0.0037600000000000003,0.0038586551414851325,0.026238069543918163,0.15957446808510645
"TACOT, Mutation++, pressure-dependent",4,3950000.0,17200.0,0.00452,0.00483287044214284,0.06921912436788502,0.039823008849557626
"TACOT, Mutation++, pressure-dependent",5,5520000.0,27300.0,0.00519,0.00582012494899656,0.12141135818816173,0.0847784200385357
"TACOT, Mutation++, pressure-dependent",6,7440000.0,31000.0,0.00513,0.006600257409575446,0.2865998849074942,0.0
"TACOT, Mutation++, pressure-dependent",7,11020000.0,84400.0,0.00484,0.005000617998754748,0.03318553693279913,0.0
"PICA, ACE via Quinn Fig. 5, single pressure",1,1070000.0,2300.0,0.0023,0.0007945291861124691,-0.6545525277771873,0.0260869565217392
"PICA, ACE via Quinn Fig. 5, single pressure",2,1690000.0,5000.0,0.00454,0.0014534284676190501,-0.6798615710090198,0.10572687224669594
"PICA, ACE via Quinn Fig. 5, single pressure",3,2460000.0,8500.0,0.0037600000000000003,0.0014266244740669556,-0.6205785973226182,0.15957446808510645
"PICA, ACE via Quinn Fig. 5, single pressure",4,3950000.0,17200.0,0.00452,0.0023319225192716107,-0.48408793821424534,0.039823008849557626
"PICA, ACE via Quinn Fig. 5, single pressure",5,5520000.0,27300.0,0.00519,0.0038730036571308223,-0.253756520784042,0.0847784200385357
"PICA, ACE via Quinn Fig. 5, single pressure",6,7440000.0,31000.0,0.00513,0.005843578112925187,0.1390990473538376,0.0
"PICA, ACE via Quinn Fig. 5, single pressure",7,11020000.0,84400.0,0.00484,0.005425159609791482,0.12090074582468646,0.0
