N_w,alpha_max,p,recovery_median_s,false_alarm_rate,diverged
10,10.0,0.01,1.6,0.01022,0
10,10.0,0.001,1.55,0.00121,0
10,10.0,0.0001,1.5,0.00016,0
10,100.0,0.01,1.3,0.01021,0
10,100.0,0.001,1.25,0.00121,0
10,100.0,0.0001,1.2000000000000002,0.00016,0
10,1000.0,0.01,1.3,0.01021,0
10,1000.0,0.001,1.25,0.00121,0
10,1000.0,0.0001,1.2000000000000002,0.00016,0
20,10.0,0.01,1.6,0.01022,0
20,10.0,0.001,1.55,0.00121,0
20,10.0,0.0001,1.5,0.00016,0
20,100.0,0.01,1.35,0.01022,0
20,100.0,0.001,1.3,0.00121,0
20,100.0,0.0001,1.3,0.00016,0
20,1000.0,0.01,1.35,0.01022,0
20,1000.0,0.001,1.3,0.00121,0
20,1000.0,0.0001,1.3,0.00016,0
40,10.0,0.01,1.6500000000000001,0.01024,0
40,10.0,0.001,1.55,0.00121,0
40,10.0,0.0001,1.5,0.00016,0
40,100.0,0.01,1.4500000000000002,0.01024,0
40,100.0,0.001,1.4000000000000001,0.00121,0
40,100.0,0.0001,1.35,0.00016,0
40,1000.0,0.01,1.4500000000000002,0.01024,0
40,1000.0,0.001,1.4000000000000001,0.00121,0
40,1000.0,0.0001,1.35,0.00016,0
