a_c,digits_stable,digits_naive
1e+02,15.7,15.7
1e+01,15.7,15.1
1e+00,15.7,14.9
1e-01,15.7,13.3
1e-02,15.7,12.7
1e-03,15.7,11.7
1e-04,15.7,10.7
1e-05,15.7,9.6
1e-06,15.7,8.6
1e-07,15.7,8.7
1e-08,15.7,6.5
1e-09,15.7,6.1
1e-10,15.7,5.0
1e-11,15.7,3.4
1e-12,15.7,3.4
1e-13,15.7,1.6
1e-14,15.7,0.9
-1e+01,15.7,15.7
-1e+00,15.7,14.4
-1e-01,15.7,13.9
-1e-02,15.7,12.3
-1e-03,15.7,11.8
-1e-04,15.7,10.5
-1e-05,15.7,9.6
-1e-06,15.7,8.4
-1e-07,15.7,8.5
-1e-08,15.7,6.5
-1e-09,15.7,6.1
-1e-10,15.7,5.0
-1e-11,15.7,3.4
-1e-12,15.7,3.4
-1e-13,15.7,1.6
-1e-14,15.7,0.9
